Society,Zone,Sales,Delta Days
Rohan Leher 2                  ,West       ,7501.799805,80
Shriram Soc                    ,West       ,9000,43
Yogiraj Foundation             ,West       ,9600,37
Yashashree Soc                 ,Central    ,4998.600098,76
Aditya Garden City             ,West       ,30609.59961,60
"ICS, revenue colony            ",Central    ,14011.7998,61
Himali Soc                     ,Central    ,9055.799805,83
Shantikunj Soc                 ,Central    ,216,57
Shriram Soc                    ,West       ,3994.800049,34
Ruturang soc                   ,Central    ,27600,63
Mahatma Soc                    ,Central    ,7800,49
Sigma One                      ,Central    ,34539,33
Forest trails                  ,West       ,15000,51
"Rohan leher 1,2, alacrity      ",West       ,12600,50
Aditya Garden City             ,West       ,28800,33
JK Hills                       ,South      ,12000,44
9 green park                   ,Central    ,9000,81
Bhosalenagar                   ,Central    ,9000,88
Mont Vert                      ,West       ,18000,76
Kumar Picadilly                ,West       ,19200,48
Dreams estate                  ,East       ,1200,75
saudamini                      ,Central    ,7800,60
Amanora                        ,East       ,14285.40039,69
Aditya Garden City             ,West       ,21600,30
DSK Vishwa                     ,South      ,22800,61
Puraniks Abitante              ,West       ,14547.59961,35
Sai park                       ,South      ,5604.600098,86
Sigma One                      ,Central    ,11793.59961,54
Sun Empire                     ,Central    ,15469.2002,51
Ruturang soc                   ,Central    ,15741.59961,63
Sudarshan                      ,West       ,6094.200195,48
Sun City                       ,Central    ,10183.2002,35
Mahadkar residency             ,Central    ,5430,63
Rohan Mithila                  ,North      ,14551.7998,41
Westend village                ,Central    ,12600,66
Sun Universe                   ,Central    ,24600,67
Ishan srushti                  ,West       ,18000,41
Tinseltown                     ,West       ,12000,73
Valle vista                    ,West       ,10605.59961,35
Sudatta sankul                 ,Central    ,6600,59
Suvarna Park                   ,West       ,12000,54
Vaidehi Enclave                ,West       ,7800,51
Colori                         ,South      ,6624.600098,37
38 Majestique                  ,South      ,3322.199951,63
Relicon Garden Grove           ,South      ,14213.40039,48
Meenaxipuram                   ,Central    ,13070.40039,30
Windsor COunty                 ,South      ,5484,57
ADitya garden city             ,West       ,21886.19922,48
Rahul Nisarg                   ,West       ,8400,47
Kasturkunj                     ,Central    ,9519,56
Swara nagri                    ,Central    ,6960,70
DSK Raanwara                   ,West       ,4200,51
Puraniks Abitante              ,West       ,6000,48
Mont Vert                      ,West       ,4200,75
Kumar Picadilly                ,West       ,5095.799805,70
DSK Vishwa                     ,Central    ,7800,50
Vitthal Heritage               ,South      ,8400,66
Amanora                        ,East       ,4200,57
9 Green Park                   ,Central    ,2745.600098,91
Rohan Garima                   ,Central    ,6323.399902,41
Suyog nagar                    ,Central    ,4485.600098,80
Sky lounge                     ,East       ,7902,77
Veeroday society               ,North      ,4995,31
Ruturang soc                   ,Central    ,5374.200195,55
Aditya Comfort Zon             ,West       ,18283.80078,50
Supreme palms                  ,West       ,11716.2002,38
Iris                           ,West       ,7920,80
Marvel Zephyr                  ,North      ,7800,69
Kumar Primrose                 ,North      ,3000,65
Rohan Mithila Upper parijat    ,North      ,3600,37
Rohan mithila A-Y              ,North      ,5400,70
Lake Vista                     ,South      ,9962.400391,35
Pinnac Anand                   ,West       ,8565,34
Kumar parisar                  ,Central    ,3300,39
Antelia                        ,West       ,6057.600098,58
Sicilia                        ,East       ,8004,80
Yellow blossoms                ,East       ,3120,86
Raheja woods                   ,East       ,7920,82
Vallonia                       ,West       ,3480,52
Nutan Dasnurkar                ,West       ,2100,76
ADitya garden city             ,West       ,13200,42
Atul Park Ph1                  ,West       ,2427.600098,73
Amanora                        ,East       ,4140,35
Kumar Kruti                    ,East       ,18000,67
Landmark Greens                ,East       ,4920,49
Kunal Aspiree                  ,West       ,9720,81
Mont vert biaritz phase 1      ,West       ,7920,82
Gera Empress                   ,West       ,5100,76
Sukhwani Sepia                 ,West       ,6000,59
Astonia                        ,South      ,12319.2002,35
Springfield                    ,Central    ,11400,35
Sigma One                      ,Central    ,4740,86
Om avishkar(Sneh paradise)     ,Central    ,7200,32
Hill View                      ,West       ,4800,30
Pristine Fontana               ,West       ,18000,59
Regalia Bavdhan                ,West       ,2292,31
Ishan Srushti                  ,West       ,3436.199951,76
Ishan Sanskruti                ,West       ,9300,38
Sundar sahawas                 ,South      ,1939.199951,89
Rajyog phase 2                 ,South      ,686.4000244,70
Sundar Sahwas Ph2              ,Central    ,1939.199951,38
Sun Universe                   ,Central    ,6723.600098,78
Amrutwel                       ,West       ,2853.600098,54
Rahul Park C                   ,West       ,1919.400024,57
Rahul Park A wing              ,West       ,1800,43
AMrutwel                       ,West       ,2853.600098,6
saudamini                      ,Central    ,2170.199951,119
Mahadkar residency             ,Central    ,4165.799805,90
Westend village                ,Central    ,4924.799805,84
House of Aadya                 ,Central    ,728.4000244,35
Saarthi Sinclair               ,West       ,4890,36
RamyaNagri                     ,Central    ,5160,35
Suyog Aditya                   ,Central    ,5529,82
Soba Savera                    ,Central    ,3775.800049,67
Sai Mystique                   ,South      ,8400,66
Sun Paradise                   ,Central    ,6000,43
Vaatsalyapuram-Kumre           ,Central    ,3634.199951,62
ADitya garden city             ,West       ,6000,29
Viola                          ,West       ,6000,80
Bhosalenagar                   ,Central    ,4830,154
Amanora                        ,East       ,8520,35
Konark Krish                   ,East       ,3031.800049,62
Rohan leher                    ,West       ,10380,31
Anant Shilp                    ,West       ,8520,49
Anant Vaibhav                  ,West       ,5281.200195,35
Alcon Renaissant               ,North      ,7320,85
Marvel citine                  ,North      ,2977.199951,43
Nyati empire                   ,North      ,10132.2002,60
Ganga archadia                 ,North      ,5206.799805,82
Shivtara society               ,Central    ,12465,52
Rakshak nagar 1                ,North      ,426,34
Rakshak nagar 2                ,North      ,4908.600098,32
Ajantha Avenue                 ,Central    ,11496.59961,59
Lakshmi deep                   ,West       ,1359,33
Kalpataru Splendour            ,West       ,18814.80078,36
Antelia                        ,West       ,4069.199951,70
Millenium Acropolis            ,West       ,3840,83
Uday HillTop                   ,West       ,17280,40
Westend Village                ,Central    ,3803.399902,85
The Cliff Garden               ,West       ,10002.59961,58
ARV Royale                     ,East       ,3360,74
Ivory Estate                   ,West       ,3000,62
Peace Valley                   ,West       ,10020,59
Perfect 10                     ,West       ,6000,39
Life Montage                   ,West       ,13200,39
Rohan Mithila                  ,North      ,13500,240
Anveshak Tech (Sandeep Tonapi) ,Central    ,4320,51
DSK Gandhkosh                  ,West       ,5854.200195,61
Park Ivory                     ,West       ,10108.2002,48
Landmark Gardens               ,East       ,3420,79
Mountain Glory                 ,North      ,2100,44
Marvel Cerise                  ,North      ,5580,89
Atul Nagar                     ,West       ,2996.399902,31
Astonia Royale                 ,South      ,4620,85
Blue Bells AUra                ,West       ,2756.399902,90
Felicitia                      ,West       ,2996.399902,59
Windows                        ,West       ,7329,37
Anshul Kanvas                  ,North      ,3096,36
Oxy Ultima                     ,North      ,7680,52
Ivory Estate                   ,West       ,1200,26
Sigma One                      ,Central    ,5368.200195,187
Pristine Fontana               ,West       ,11964,181
Ambience Antelia               ,West       ,6141,77
Valle Vista                    ,West       ,3930,258
Blue Ridge                     ,West       ,17367,52
The Crown Greens               ,West       ,3937.199951,44
Forest County                  ,North      ,12088.2002,87
Kumar Primavera                ,North      ,4054.199951,86
Indradhanu Apartments          ,Central    ,5648.399902,35
Sun Universe                   ,Central    ,10330.7998,87
Sun City                       ,Central    ,4375.799805,271
Sudatta Sankul                 ,Central    ,3708,259
Pinnac Anand                   ,West       ,7608,46
Little Millenium School        ,North      ,498,52
Rahul Nagar                    ,Central    ,3468,61
Meenaxipuram                   ,Central    ,5640,250
Sicilia                        ,East       ,3541.800049,221
Yellow Blosson                 ,East       ,1752,86
Mont Vert Seville              ,West       ,4063.800049,32
Vardhaman Residency            ,West       ,2734.800049,78
Western Avenue                 ,West       ,5256,33
Life Republic 7                ,West       ,18600,64
Kumar Kruti                    ,East       ,7800,210
Sneh Paradise                  ,Central    ,10200,60
Sarita Vaibhav                 ,Central    ,6000,70
Swarnavilas                    ,West       ,3600,76
Aureate                        ,West       ,4800,74
Shivam Society                 ,West       ,8400,88
Aditya Garden Society          ,West       ,12000,30
Ajinkyatara                    ,South      ,8408.400391,31
Viola                          ,West       ,2925,188
Somani Residency               ,West       ,1500,58
Palash Housing Society         ,West       ,7372.200195,79
River Residency                ,North      ,14476.7998,60
sun paradise                   ,Central    ,1909.199951,199
Atul Nagar                     ,West       ,1382.400024,41
jardin                         ,West       ,6229.799805,42
beverly hills                  ,West       ,3226.800049,69
Aeropolis                      ,North      ,5719.200195,57
Atria Soc                      ,North      ,2340,87
Life Republic 3                ,West       ,12286.2002,70
Life Republic 4                ,West       ,14869.7998,40
Hallmark Soc                   ,West       ,2883,63
Goodwill Soc                   ,West       ,2580,31
Gera Trinity Tower             ,North      ,2736,90
Ivy Estate                     ,North      ,17400,44
Roseland residency             ,West       ,13308,42
Rose Icon                      ,West       ,8094,83
Aditya Garden Society          ,West       ,9394.200195,27
SUYOG Aura                     ,West       ,2955,57
Tejowalay                      ,West       ,3083.399902,78
Oval Nest                      ,West       ,1956,71
The Cliff Garden               ,West       ,727.2000122,91
Tinsel County                  ,West       ,3117.600098,90
Aishwaryam hamara              ,North      ,4376.399902,62
High Mont                      ,West       ,7254,34
Springfield                    ,Central    ,6600,56
Ruturang                       ,Central    ,12805.7998,42
Shiv Sai Paradise              ,Thane      ,34906.80078,58
Hiranandani Meadows-Mayflower  ,Thane      ,11945.40039,55
Chaurang Terrace               ,East       ,2259,33
Green County                   ,East       ,5205,57
Sancheti Belcastle             ,East       ,4620,67
PGD Pinnacle                   ,East       ,1122,53
Rajveer Palace                 ,West       ,10964.40039,58
S3 Lifestyle apartment         ,West       ,2601,70
Capitol Towers                 ,West       ,1266,40
Amanora                        ,East       ,20317.80078,231
Megapolis-Sunway               ,West       ,7764,51
Megapolis-Sparklet             ,West       ,5163.600098,86
Relicon Garden Grove           ,South      ,6794.399902,317
Vitthal Heritage               ,South      ,3015.600098,304
Sai residency                  ,North      ,2905.199951,57
Anant Shilp                    ,West       ,7884,229
TinselTown                     ,West       ,7628.399902,85
Comfort Zone                   ,West       ,6124.799805,64
Iris                           ,West       ,3390,293
Blue Ridge-C tower             ,West       ,4993.799805,54
KUL Echoluch                   ,West       ,2058,34
Rohit walimbe Online           ,West       ,4800,44
Life Republic-R3               ,West       ,2683.800049,43
Life Republic-R4               ,West       ,3661.800049,59
Life Republic-R7               ,West       ,4175.399902,62
Aditya Garden City             ,West       ,735,246
Ishan Sanskruti                ,West       ,5719.799805,261
IVY Estate                     ,North      ,7715.399902,37
umang premier                  ,North      ,942,85
River Residency phase 3        ,North      ,5288.399902,69
Krystal City                   ,North      ,3373.800049,64
Blue Ridge-Unit A              ,West       ,4963.200195,31
Karishma Soc                   ,Central    ,9960,48
Elementa                       ,West       ,8631.599609,77
Sukhwani Sepia                 ,West       ,6646.200195,276
Gangadham Phase 2              ,Central    ,4931.399902,36
State Bank Nagar-              ,Central    ,2172,61
Sun Satellite                  ,Central    ,8160,80
Sun Orbit                      ,Central    ,8820,65
Pristine Fontana               ,West       ,9240,91
Ambience Antelia               ,West       ,7260,92
Miami                          ,South      ,11100,46
Ruturang-Aranyeshwar           ,Central    ,7980,67
DSK Vishwa                     ,South      ,10500,322
Sun Universe                   ,Central    ,18240,88
JARVARI                        ,West       ,4200,55
PARK ROYALE                    ,West       ,6480,78
BIARITZ 1                      ,West       ,4693.799805,61
NEA                            ,West       ,2731.199951,40
XERBIA                         ,North      ,1500,79
Sarthi Sinclair                ,West       ,2787,55
Amrutwel                       ,West       ,4346.399902,273
Florencia                      ,West       ,7171.200195,85
Mont Vert Seville              ,West       ,4544.399902,86
Amit Bloomfield                ,South      ,6107.399902,42
Ajinkyatara                    ,Central    ,1585.199951,75
Sudatta Sankul                 ,Central    ,2773.800049,96
Karan Palms+Greens             ,West       ,4846.799805,46
Anant Vaibhav                  ,West       ,2322.600098,257
Puraniks Abitante              ,West       ,3042,337
Vardhamanpura                  ,Central    ,657,67
Lake Vista                     ,South      ,5022.600098,316
Pride Aashiyana                ,North      ,12600,90
Goodwill 24 CHS                ,North      ,4200,64
Aditya Garden City             ,West       ,4570.799805,34
Royal Rahadki Ph1              ,West       ,9000,83
Rose Valley                    ,West       ,15600,67
Majestic aqua                  ,East       ,2904.600098,42
Armada                         ,West       ,4459.200195,77
Siddhivinayak Manas            ,South      ,3636.600098,65
Granduere                      ,South      ,5696.399902,74
Godrej Infinity                ,East       ,7692.600098,62
Vihana                         ,East       ,5245.200195,35
Amanora                        ,East       ,10957.7998,49
Godrej Infinity                ,East       ,8861.400391,3
Shivnagri                      ,Central    ,7719.600098,75
Sarita Vihar                   ,Central    ,3623.399902,37
Suvarna Rekha Shree            ,Central    ,2837.399902,85
Savannah Hills                 ,West       ,3192.600098,52
Sun Fantasy                    ,South      ,7200,68
